menu.newgame,New game
dialog.minicg.34,"Bright splashes fly everywhere, hitting the walls with a loud sound. I try to imprint where every drop fell in my memory, so I could gather them all later."
dialog.minicg.35,"I need to remember, I need..."
dialog.minicg.36,A new wave of pain washes over me. Everything turns pitch-black in an instant.
dialog.minicg.37,- SAY IT: I'LL NEVER DRINK MILK EVER AGAIN.
dialog.minicg.38,- I...
dialog.minicg.39,- SAY IT.
dialog.minicg.40,- I'll never... drink milk... ever again...
dialog.minicg.41,- SAY IT AGAIN.
dialog.minicg.42,- I'll never drink milk ever again!
dialog.minicg.43,- I'LL NEVER DRINK MILK EVER AGAIN!
dialog.cgmirror.1,"I finally get to my room. I'm so tired of all this fuss... Thankfully, I still feel comfy and warm in my room! Even the weird sounds coming from the outside don't make me anxious at all."
dialog.cgmirror.2,"Mom told me to go to bed, so I need to perform all the needed preparations. I've washed my face, and now I'm standing in front of the mirror with a toothbrush in my mouth."
dialog.cgmirror.3,"I look at my reflection. It shows absolutely no desire to sleep. Yeah, I get how you feel..."
dialog.cgmirror.4,And there was a time when the last minutes before I sleep were my favorite time of the day. I loved anticipating the inevitable moment when the reality and the dream world would clash.
dialog.cgmirror.5,"I woke up for that moment's sake, lived through the day for it. My biggest dream was to sleep all day long. It would've been so cool! But the dreams always slowly, but surely, slipped away."
dialog.cgmirror.6,"As if somebody fished them out of my head, one after another, one after another... until nothing was left. And now I have to sleep again, even though I don't feel any need for it."
dialog.cgpills.1,"After finishing with my face, I usually reach out for my pills. It's funny, but I have no idea how they work separately since I always swallow them as a bunch without thinking."
dialog.cgpills.2,"Now I want to have a better look at it, to twirl it between my fingers, to chew on it..."
dialog.cgpills.3,I'd do anything to stall for just a little bit more time.
dialog.cgpills.4,"A smooth, protruded red capsule is looking at me. It's covered in a murky, semi-transparent film, but I can still discern its contents."
dialog.cgpills.5,So what do we have inside you...?
dialog.cgpills.6,"I gently press on the capsule from both sides and, to my surprise, it turns out to be soft and squishy. I press harder and the capsule pops. Sticky, bright red liquid pours out... Filthy, filthy!"
dialog.cgpills.7,"The pill flies straight to the waste bin and I start rigorously washing my hands. No, there's no way I'm drinking THAT!"
dialog.cgpills.8,"Next was a flat pill of the same blood-red color. There were some letters printed out on it... Oh, I get it!"
dialog.cgpills.9,"This is the medicine that makes me really sleepy. But it's not the type of sleep I want, that's not it at all. It's fake! No, no, no! I don't even want to look at it!"
dialog.cgpills.10,The pill flies into the waste bin as well.
dialog.cgpills.11,The next half an hour goes by in a similar fashion: I study every pill from all sides and then I find a reason not to swallow it.
dialog.cgpills.12,"I invent my own medicine instead and enjoy swallowing them one after another, letting myself drown in their healing effects."
dialog.cgpills.13,"...hey, my neck doesn't hurt anymore."
dialog.cgpills.14,"...hey, my hand doesn't hurt anymore."
dialog.cgpills.15,"...hey, my head doesn't hurt anymore."
dialog.cgpills.16,"...hey, my heart doesn't hurt anymore."
dialog.cgpills.17,"...hey, my stomach doesn't hurt anymore."
dialog.cgpills.18,"...hey, my eyes don't hurt anymore."
dialog.cgpills.19,How come I didn't think of this earlier? This is so simple! I need to brag about it to someone right away!
dialog.cgpills.20,"But not to my mom, she'll just scold me."
dialog.cgpills.21,And she's sure I'm already sleeping anyway. I don't want to disturb her without reason. I'll think of something myself!
dialog.cgpills.22,"Besides, I just really want some small talk... I wonder, who's going to be my conversation partner?"
choice.cgpills.1,(Hey...)
