menu.newgame,Новая игра
dialog.cgpills.11,Следующие полчаса проходят примерно так: я рассматриваю таблетки со всех сторон и для каждой нахожу причину ни в коем случае ее не пить.
dialog.cgpills.12,"Вместо этого я придумываю свои собственные лекарства и с удовольствием принимаю их одно за одним, всецело отдаваясь их целительным эффектам."
dialog.cgpills.13,вот и горло больше не болит.
dialog.cgpills.14,вот и рука больше не болит.
dialog.cgpills.15,вот и голова больше не болит.
dialog.cgpills.16,вот и сердце больше не болит.
dialog.cgpills.17,вот и живот больше не болит.
dialog.cgpills.18,вот и глаза больше не болят.
dialog.cgpills.19,И как я раньше не додумалась? Это же так просто! Надо срочно кому-нибудь похвастаться!
dialog.cgpills.20,"но только не маме, она будет ругаться."
dialog.cgpills.21,"К тому же она уверена, что я уже сплю - не буду лишний раз тревожить ее. Придумаю что-нибудь сама!"
dialog.cgpills.22,"И вообще, мне просто хочется поболтать... Ах, кто же будет моим собеседником?"
choice.cgpills.1,(Эй...)
