menu.newgame,Nuevo juego
dialog.minicg.25,- QUIETA.
dialog.minicg.26,"Al momento de decir eso, su garra pincha mi brazo. No siento nada más que el apenas perceptible reptar bajo mi piel y el vibrar de mis tendones tensos. Y, entonces... la garra me inyecta su veneno."
dialog.minicg.27,- Duele...
dialog.minicg.28,"Un blanco velo aparece ante mis ojos, mis dedos se entumecen y comienzan a retorcerse frenéticamente. Pierdo el control de mi cuerpo y caigo lentamente al suelo, como la última vez, pero..."
dialog.minicg.29,- Por... ¿por qué me siento tan caliente?
dialog.minicg.30,"Siento que mi sangre hierve. Fuertes escalofríos recorren mi cuerpo, paralizando todas mis células, mientras mis venas y arterias se calientan, a punto de estallar por la presión."
dialog.minicg.31,"Intento gritar, pero en vez de palabras, de mi boca sale una espuma lechosa. La criatura se da cuenta y se abalanza sobre mí, enfurecida, agarrándome del cuello mientras mantiene su venenosa garra en mi brazo."
dialog.minicg.32,- Mátame ya... ¡Mátame!
dialog.minicg.33,"Gritos histéricos resuenan por el pasillo. En un ataque de ira, la criatura comienza a arañarme el cuello."
dialog.minicg.34,"Gotas brillantes salpican por todos lados, haciendo ruido al chocar con las paredes. Intento recordar dónde cae cada una, para recogerlas después."
dialog.minicg.35,"Debo recordar, debo..."
dialog.minicg.36,"Una nueva ola de dolor recorre mi cuerpo. En un instante, todo se vuelve negro."
dialog.minicg.37,- DILO: 'NO VOLVERÉ A BEBER LECHE NUNCA MÁS.'
dialog.minicg.38,- Yo...
dialog.minicg.39,- DILO.
dialog.minicg.40,- No volveré... a beber leche... nunca más...
dialog.minicg.41,- DILO OTRA VEZ.
dialog.minicg.42,- ¡No volveré a beber leche nunca más!
dialog.minicg.43,- ¡NO VOLVERÉ A BEBER LECHE NUNCA MÁS!
dialog.cgmirror.1,"Por fin llego a mi habitación. Estoy tan cansada de todo este alboroto... ¡Por suerte, en mi habitación aún me siento cómoda y cálida! Ni siquiera los sonidos extraños que vienen del exterior me molestan."
dialog.cgmirror.2,"Mamá me ha dicho que me vaya a la cama, así que tengo que hacer los preparativos necesarios. Me he lavado la cara y ahora estoy frente al espejo, con el cepillo de dientes en la boca."
dialog.cgmirror.3,"Miro mi reflejo. No parece tener ganas de dormir. Sí, sé cómo te sientes..."
dialog.cgmirror.4,Y pensar que hubo un tiempo en el que mi momento favorito del día eran los minutos antes de dormirme. Me encantaba esperar al inevitable momento en que el mundo real y el de los sueños chocaban.
dialog.cgmirror.5,"Me despertaba para vivir ese momento, esperaba todo el día por él. Mi sueño era dormir todo el día, ¡hubiera sido genial! Pero los sueños siempre se desvanecen."
dialog.cgmirror.6,"Como si alguien me los sacara de la cabeza, uno tras otro, sin parar... hasta que no queda ninguno. Y ahora tengo que volver a acostarme, aunque no tenga ganas."
dialog.cgpills.1,"Tras terminar con mi cara, normalmente agarro mis pastillas. Es gracioso, no tengo ni idea de qué hacen por separado, ya que siempre me las tomo todas a la vez, sin pensar."
dialog.cgpills.2,"Ahora quiero fijarme un poco más, pasarlas entre mis dedos, masticarlas..."
dialog.cgpills.3,Haría lo que fuera por poder quedarme así un rato más.
dialog.cgpills.4,"Una cápsula roja, lisa y alargada me mira. Está cubierta por una película translúcida oscura, pero puedo ver, de alguna manera, lo que contiene."
dialog.cgpills.5,"A ver, ¿qué tienes dentro...?"
dialog.cgpills.6,"Tiro suavemente de cada lado y, para mi sorpresa, la cápsula es suave y blandita. Tiro más fuerte y se abre, de ella sale un líquido rojo y pegajoso... Ay, ¡qué asco!"
dialog.cgpills.7,"La tiro directamente a la papelera y me lavo las manos minuciosamente. No, ¡no pienso beberme ESO! Ni de broma."
dialog.cgpills.8,"La siguiente es una píldora del mismo color rojo sangre. Tiene unas letras grabadas... Ah, ¡ya sé!"
dialog.cgpills.9,"Estas son las que me hacen entrar el sueño, pero no es el tipo de sueño que yo quiero, en absoluto. ¡Es falso! ¡No, no no! ¡no quiero ni mirarla!"
dialog.cgpills.10,Ésta también la tiro a la papelera.
dialog.cgpills.11,La siguiente media hora la paso igual: estudiando cada pastilla minuciosamente y encontrando una razón para no tomármela.
dialog.cgpills.12,"En vez de eso, me hago mi propia medicina y disfruto tomándomela, dejándome inundar por sus efectos curativos."
dialog.cgpills.13,"...eh, ya no me duele el cuello."
dialog.cgpills.14,"...eh, ya no me duele la mano."
dialog.cgpills.15,"...eh, ya no me duele la cabeza."
dialog.cgpills.16,"...eh, ya no me duele el corazón."
dialog.cgpills.17,"...eh, ya no me duele el estómago."
dialog.cgpills.18,"...eh, ya no me duelen los ojos."
dialog.cgpills.19,¿Cómo no lo había pensado antes? ¡es súper fácil! ¡Necesito contárselo a alguien ya mismo!
dialog.cgpills.20,"Pero a mamá no, me regañaría."
dialog.cgpills.21,"Ella piensa que estoy durmiendo, no quiero molestarla sin motivo. ¡Ya pensaré en algo!"
dialog.cgpills.22,"Además, solo quiero hablar un poco... Me pregunto quién será mi compañero de charla."
choice.cgpills.1,(Ey...)
